0.7147 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7153 (+/-0.015) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7153 (+/-0.015) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7153 (+/-0.015) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7146 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7146 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7146 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7306 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7306 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7306 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7319 (+/-0.010) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7319 (+/-0.010) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7319 (+/-0.010) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7315 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7315 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7315 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7335 (+/-0.020) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7335 (+/-0.020) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7335 (+/-0.020) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7339 (+/-0.018) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7339 (+/-0.018) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7339 (+/-0.018) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7334 (+/-0.020) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7334 (+/-0.020) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7334 (+/-0.020) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7316 (+/-0.015) for {'classifier__n_neighbors': 10, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7316 (+/-0.015) for {'classifier__n_neighbors': 10, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
