0.7313 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7313 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7669 (+/-0.025) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7669 (+/-0.025) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7679 (+/-0.026) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7679 (+/-0.026) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7736 (+/-0.030) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7736 (+/-0.030) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7748 (+/-0.031) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7748 (+/-0.031) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7767 (+/-0.025) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7767 (+/-0.025) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7745 (+/-0.020) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7745 (+/-0.020) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7643 (+/-0.023) for {'classifier__max_depth': 50, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
